Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.7860007286071777, 0.6497752666473389, -3.592956332454378e-08]","[0.8023196458816528, 0.5085885524749756, -0.07973236590623856]","[0.6884628534317017, 0.3545617461204529, -0.09556455165147781]","[0.5199350118637085, 0.29894641041755676, -0.10099328309297562]","[0.3959222435951233, 0.3044845163822174, -0.09643346071243286]","[0.4769527018070221, 0.30980944633483887, -0.024919109418988228]","[0.3032851815223694, 0.26083454489707947, -0.07779892534017563]","[0.19438651204109192, 0.23855461180210114, -0.1049576997756958]","[0.09263509511947632, 0.21594375371932983, -0.12408138811588287]","[0.4361262321472168, 0.4136520326137543, -0.01700195111334324]","[0.3198259174823761, 0.388023316860199, -0.08111175149679184]","[0.4681399166584015, 0.44694510102272034, -0.08320223540067673]","[0.5425435900688171, 0.4435732662677765, -0.0659550204873085]","[0.42658600211143494, 0.5192183256149292, -0.023942425847053528]","[0.3399682343006134, 0.5144153833389282, -0.1056690365076065]","[0.4889116585254669, 0.549809992313385, -0.08300755172967911]","[0.5489875674247742, 0.5293993353843689, -0.046795036643743515]","[0.4398971199989319, 0.6296260356903076, -0.03849990293383598]","[0.36274197697639465, 0.624531626701355, -0.09662814438343048]","[0.4731178283691406, 0.632196307182312, -0.0791608989238739]","[0.5278893709182739, 0.617135763168335, -0.05307204648852348]"
"[0.6488010883331299, 0.7676434516906738, -6.135585408628685e-07]","[0.7253056764602661, 0.6773626208305359, -0.09854095429182053]","[0.6957262754440308, 0.4598216414451599, -0.1139383316040039]","[0.5968281626701355, 0.29155057668685913, -0.11326111853122711]","[0.5023210048675537, 0.20601333677768707, -0.09377412497997284]","[0.5788918733596802, 0.3187257647514343, -0.05206918716430664]","[0.4645918011665344, 0.18134839832782745, -0.13781660795211792]","[0.38742977380752563, 0.11245709657669067, -0.17797285318374634]","[0.30481019616127014, 0.03712603449821472, -0.19965285062789917]","[0.4955783784389496, 0.38914158940315247, -0.03462541475892067]","[0.4256143867969513, 0.3466201722621918, -0.11646479368209839]","[0.5254177451133728, 0.4975440800189972, -0.1017514020204544]","[0.5567153692245483, 0.49254176020622253, -0.07128550112247467]","[0.4325719475746155, 0.46261200308799744, -0.038425154983997345]","[0.36664891242980957, 0.4350675344467163, -0.13840992748737335]","[0.48280999064445496, 0.5588458180427551, -0.09384960681200027]","[0.5209225416183472, 0.5523221492767334, -0.04247984662652016]","[0.38165390491485596, 0.545814573764801, -0.05283421277999878]","[0.3373457193374634, 0.536089301109314, -0.12197503447532654]","[0.42938822507858276, 0.6142615675926208, -0.09685802459716797]","[0.46180739998817444, 0.6197040677070618, -0.06411968171596527]"
"[0.7716102600097656, 0.39546504616737366, -2.5171161155412847e-07]","[0.6762399077415466, 0.33975762128829956, -0.11689319461584091]","[0.4768046438694, 0.34247642755508423, -0.14308370649814606]","[0.3249920606613159, 0.42140939831733704, -0.1512848138809204]","[0.21256312727928162, 0.49269354343414307, -0.14118382334709167]","[0.32137152552604675, 0.3911241590976715, -0.05830182507634163]","[0.17289000749588013, 0.4928008019924164, -0.14384347200393677]","[0.0864313542842865, 0.574799120426178, -0.18491975963115692]","[-0.014782577753067017, 0.651293933391571, -0.20811763405799866]","[0.3739539682865143, 0.47874560952186584, -0.03329247236251831]","[0.32697510719299316, 0.5663129091262817, -0.12291809171438217]","[0.4733513295650482, 0.5002076029777527, -0.11996959894895554]","[0.47985896468162537, 0.44985923171043396, -0.09537633508443832]","[0.44118502736091614, 0.550851583480835, -0.030269727110862732]","[0.4128429591655731, 0.634406566619873, -0.14336125552654266]","[0.5473530292510986, 0.5483902096748352, -0.11358688026666641]","[0.5432642698287964, 0.4896553158760071, -0.06654871255159378]","[0.5179534554481506, 0.6126251220703125, -0.037949588149785995]","[0.4945397675037384, 0.6749787330627441, -0.12153403460979462]","[0.588294506072998, 0.6000689268112183, -0.10440361499786377]","[0.598990261554718, 0.5499871969223022, -0.07287757098674774]"
"[0.7576192021369934, 0.7342394590377808, 2.2249216158343188e-07]","[0.8522323966026306, 0.6123152375221252, -0.105392687022686]","[0.8026911616325378, 0.44766148924827576, -0.16106367111206055]","[0.6848311424255371, 0.355800598859787, -0.2051425725221634]","[0.5590398907661438, 0.3241090476512909, -0.23702897131443024]","[0.5971894264221191, 0.32134759426116943, -0.11758189648389816]","[0.40835413336753845, 0.23921257257461548, -0.246237650513649]","[0.28229591250419617, 0.1959550529718399, -0.3222706913948059]","[0.1712372899055481, 0.15442636609077454, -0.3654966354370117]","[0.5020750761032104, 0.43177884817123413, -0.11073539406061172]","[0.41510629653930664, 0.3932545483112335, -0.23269803822040558]","[0.5649141669273376, 0.5189774632453918, -0.2424476593732834]","[0.6459267735481262, 0.5428703427314758, -0.2260562628507614]","[0.43921107053756714, 0.540307879447937, -0.12180282920598984]","[0.3617687523365021, 0.5037734508514404, -0.24689604341983795]","[0.5085501670837402, 0.6033651232719421, -0.19935649633407593]","[0.5817428827285767, 0.6236299872398376, -0.140005424618721]","[0.4022628366947174, 0.6492653489112854, -0.14337317645549774]","[0.3313612639904022, 0.6224307417869568, -0.23204638063907623]","[0.4379809498786926, 0.6757195591926575, -0.2030622661113739]","[0.49922385811805725, 0.6871188879013062, -0.16168765723705292]"
"[0.9325665235519409, 0.6268564462661743, -1.707459773570008e-08]","[0.8765008449554443, 0.45719313621520996, -0.06383824348449707]","[0.708869218826294, 0.335583359003067, -0.09505710750818253]","[0.5257365703582764, 0.3419421315193176, -0.12146846950054169]","[0.3906080722808838, 0.377494215965271, -0.14348255097866058]","[0.6120623350143433, 0.26390576362609863, -0.056411515921354294]","[0.4029892086982727, 0.2524566352367401, -0.1349245011806488]","[0.26537826657295227, 0.23947030305862427, -0.1865837275981903]","[0.13176703453063965, 0.2185393124818802, -0.2265203595161438]","[0.5768996477127075, 0.37366408109664917, -0.07007580250501633]","[0.4046955406665802, 0.4015212953090668, -0.1538362354040146]","[0.4960145950317383, 0.4553629457950592, -0.17208720743656158]","[0.5208478569984436, 0.44136160612106323, -0.1745874434709549]","[0.5661349296569824, 0.4937099814414978, -0.09647566825151443]","[0.41186290979385376, 0.5172073245048523, -0.18707086145877838]","[0.5181118249893188, 0.5454094409942627, -0.1701507270336151]","[0.5393242835998535, 0.5089622735977173, -0.14481018483638763]","[0.5783463716506958, 0.6227419376373291, -0.12927678227424622]","[0.46932506561279297, 0.6187377572059631, -0.1995784491300583]","[0.5376242995262146, 0.6173689365386963, -0.18647654354572296]","[0.5508583784103394, 0.591288685798645, -0.16705793142318726]"
"[0.8221863508224487, 0.5160356760025024, 3.0200084211173817e-07]","[0.7633740901947021, 0.3689388036727905, -0.09052184224128723]","[0.576610803604126, 0.265089213848114, -0.11413055658340454]","[0.3919752240180969, 0.27260181307792664, -0.12901577353477478]","[0.2667052745819092, 0.31700101494789124, -0.1360379457473755]","[0.39144545793533325, 0.34467458724975586, -0.039589062333106995]","[0.19532623887062073, 0.366721510887146, -0.10735797137022018]","[0.06476250290870667, 0.3829336166381836, -0.14280104637145996]","[-0.0472182035446167, 0.38686153292655945, -0.16705021262168884]","[0.3989226520061493, 0.45650404691696167, -0.032874416559934616]","[0.27032470703125, 0.4787557125091553, -0.1411983221769333]","[0.4187798798084259, 0.4772571921348572, -0.16646461188793182]","[0.508089005947113, 0.4465620815753937, -0.15431524813175201]","[0.4368966519832611, 0.5580322742462158, -0.040130164474248886]","[0.35456275939941406, 0.5950747132301331, -0.15645892918109894]","[0.49924805760383606, 0.5709019899368286, -0.14270198345184326]","[0.56544029712677, 0.5217289328575134, -0.10093290358781815]","[0.4924699068069458, 0.6511595249176025, -0.05456869676709175]","[0.41542333364486694, 0.68020099401474, -0.1336091160774231]","[0.5170225501060486, 0.6509402990341187, -0.12007476389408112]","[0.5757365822792053, 0.6119945049285889, -0.08977007865905762]"
"[0.8225622773170471, 0.4132668375968933, -2.481897070083505e-07]","[0.7170987129211426, 0.30789345502853394, -0.1166304349899292]","[0.49949392676353455, 0.29020220041275024, -0.13620087504386902]","[0.33116379380226135, 0.3913494646549225, -0.1354728788137436]","[0.23832274973392487, 0.48814085125923157, -0.11317960917949677]","[0.33478736877441406, 0.3734833598136902, -0.04749448969960213]","[0.1707630753517151, 0.47891879081726074, -0.13408850133419037]","[0.0985279381275177, 0.5622824430465698, -0.18073280155658722]","[0.005690425634384155, 0.6333642601966858, -0.20548588037490845]","[0.385520339012146, 0.47347187995910645, -0.018863175064325333]","[0.32210496068000793, 0.5592827796936035, -0.0947280153632164]","[0.4779350161552429, 0.4951879382133484, -0.0957801565527916]","[0.49987930059432983, 0.4349501132965088, -0.07972314953804016]","[0.4504469335079193, 0.5528333187103271, -0.013835184276103973]","[0.4135122299194336, 0.6274857521057129, -0.1133844405412674]","[0.5588138103485107, 0.548136293888092, -0.09355125576257706]","[0.5623366832733154, 0.4840286076068878, -0.05738631263375282]","[0.5236839056015015, 0.6162949800491333, -0.02013038471341133]","[0.49758243560791016, 0.6640192270278931, -0.09158745408058167]","[0.5967814922332764, 0.5989089012145996, -0.0814344510436058]","[0.6144590377807617, 0.5522342324256897, -0.058332886546850204]"
"[0.7258173227310181, 0.403637558221817, -4.797296355718572e-07]","[0.6746265292167664, 0.2791609764099121, -0.08962899446487427]","[0.47457265853881836, 0.26643699407577515, -0.10883335769176483]","[0.3125748336315155, 0.35209083557128906, -0.11653193831443787]","[0.22533656656742096, 0.43796491622924805, -0.11966640502214432]","[0.3204937279224396, 0.4076389968395233, -0.05511491745710373]","[0.15652306377887726, 0.49776482582092285, -0.10997091233730316]","[0.06325098872184753, 0.5708571672439575, -0.13044048845767975]","[0.00013077259063720703, 0.6295894384384155, -0.14378909766674042]","[0.38015931844711304, 0.5051174759864807, -0.04174456000328064]","[0.2896321415901184, 0.5785958766937256, -0.13285961747169495]","[0.43227022886276245, 0.516478955745697, -0.13860097527503967]","[0.500737190246582, 0.45504429936408997, -0.11527131497859955]","[0.4525361955165863, 0.5799986124038696, -0.04164130985736847]","[0.40012282133102417, 0.6421294212341309, -0.15019257366657257]","[0.524243175983429, 0.5612660646438599, -0.12571536004543304]","[0.5661071538925171, 0.5023930072784424, -0.07961086928844452]","[0.534029483795166, 0.6478049755096436, -0.048145610839128494]","[0.4892878532409668, 0.7028151750564575, -0.13050149381160736]","[0.5720775127410889, 0.6318764686584473, -0.11811582744121552]","[0.6023133993148804, 0.5801436901092529, -0.0900745689868927]"
"[0.7580723762512207, 0.5779087543487549, -1.2584040121055295e-07]","[0.7843472957611084, 0.45128774642944336, -0.09028501063585281]","[0.644603967666626, 0.3150407373905182, -0.11230209469795227]","[0.47059038281440735, 0.2714337110519409, -0.12306220829486847]","[0.34488117694854736, 0.2870624363422394, -0.1277562379837036]","[0.4424699544906616, 0.32648536562919617, -0.051956094801425934]","[0.26609522104263306, 0.2931920289993286, -0.11332044750452042]","[0.1489400565624237, 0.28346315026283264, -0.1388276070356369]","[0.05453953146934509, 0.27486076951026917, -0.15488095581531525]","[0.4213032126426697, 0.4348398447036743, -0.04056007042527199]","[0.3063570261001587, 0.4288942217826843, -0.12929706275463104]","[0.448394775390625, 0.47521597146987915, -0.1347835510969162]","[0.530744194984436, 0.4660870432853699, -0.11211217939853668]","[0.4271026849746704, 0.5359001755714417, -0.043510448187589645]","[0.3481696844100952, 0.5501636266708374, -0.15005026757717133]","[0.48986005783081055, 0.571071982383728, -0.1274564117193222]","[0.5551209449768066, 0.5458924770355225, -0.0827835276722908]","[0.449543833732605, 0.636577844619751, -0.053225208073854446]","[0.375336617231369, 0.6521151065826416, -0.13107827305793762]","[0.4801273047924042, 0.6491180658340454, -0.1162162646651268]","[0.5408725142478943, 0.6256188750267029, -0.08609707653522491]"
"[0.8406787514686584, 0.5400313138961792, 1.4038778317626566e-07]","[0.7719746232032776, 0.39273589849472046, -0.1205434575676918]","[0.582267165184021, 0.30505794286727905, -0.15097638964653015]","[0.40019065141677856, 0.35355469584465027, -0.1608361154794693]","[0.27821090817451477, 0.4102233946323395, -0.15116377174854279]","[0.3989400863647461, 0.3061312139034271, -0.06528156995773315]","[0.1990153193473816, 0.35963529348373413, -0.15421728789806366]","[0.07635417580604553, 0.4035245180130005, -0.20410765707492828]","[-0.048103928565979004, 0.42027032375335693, -0.23354463279247284]","[0.40145009756088257, 0.4200265407562256, -0.0372939296066761]","[0.31295835971832275, 0.4905228614807129, -0.11233841627836227]","[0.47711220383644104, 0.4906107783317566, -0.1135345920920372]","[0.5257871150970459, 0.44431331753730774, -0.0994587168097496]","[0.42976924777030945, 0.521411657333374, -0.03212907537817955]","[0.3653797209262848, 0.5835039615631104, -0.1294037252664566]","[0.5324362516403198, 0.5634796619415283, -0.10761283338069916]","[0.5659934878349304, 0.5003826022148132, -0.0718303844332695]","[0.4756244719028473, 0.6090678572654724, -0.0384676493704319]","[0.42958277463912964, 0.6470345258712769, -0.11146817356348038]","[0.5512929558753967, 0.6236661672592163, -0.09771793335676193]","[0.5908078551292419, 0.5840194225311279, -0.07215799391269684]"
"[0.8324233293533325, 0.7762895822525024, -2.0721895452879835e-06]","[0.914455235004425, 0.6361377835273743, -0.11563435196876526]","[0.8698219060897827, 0.4051937758922577, -0.18057332932949066]","[0.7704712152481079, 0.19985643029212952, -0.24152898788452148]","[0.6807714104652405, 0.05445253849029541, -0.28019654750823975]","[0.6739646196365356, 0.3865123689174652, -0.07143229991197586]","[0.6430023908615112, 0.2359987497329712, -0.18972952663898468]","[0.7451314926147461, 0.3572455644607544, -0.2292078137397766]","[0.7772188186645508, 0.43101584911346436, -0.23897410929203033]","[0.5955613255500793, 0.42659860849380493, -0.06148085370659828]","[0.5746680498123169, 0.2752313017845154, -0.18398897349834442]","[0.7003624439239502, 0.4313940107822418, -0.18775135278701782]","[0.6929730772972107, 0.4968803822994232, -0.16639338433742523]","[0.5233691334724426, 0.48123422265052795, -0.07650566846132278]","[0.519389808177948, 0.3217567503452301, -0.19285571575164795]","[0.6473482847213745, 0.46681657433509827, -0.160594180226326]","[0.6510574221611023, 0.5472282767295837, -0.1121278777718544]","[0.45666080713272095, 0.5445923805236816, -0.10384988784790039]","[0.4130703806877136, 0.40537452697753906, -0.15749210119247437]","[0.49351218342781067, 0.4674541652202606, -0.13260631263256073]","[0.5199078917503357, 0.5088287591934204, -0.1009107306599617]"
"[0.698242723941803, 0.7383794188499451, -5.976452257527853e-07]","[0.7563236951828003, 0.6306053400039673, -0.09610860049724579]","[0.6897245645523071, 0.4256330132484436, -0.11219121515750885]","[0.5644918084144592, 0.278398722410202, -0.11323003470897675]","[0.4571988582611084, 0.21328824758529663, -0.09508519619703293]","[0.5447769165039062, 0.30841973423957825, -0.05032769590616226]","[0.40605002641677856, 0.19657550752162933, -0.13214318454265594]","[0.3198733925819397, 0.14040346443653107, -0.1692076474428177]","[0.2248380184173584, 0.07660102844238281, -0.19001461565494537]","[0.47400933504104614, 0.39392852783203125, -0.034614015370607376]","[0.3998429775238037, 0.3632486164569855, -0.11346840113401413]","[0.526674211025238, 0.4890379309654236, -0.09704158455133438]","[0.5514545440673828, 0.4726191461086273, -0.06633613258600235]","[0.42497557401657104, 0.4787510633468628, -0.0395796038210392]","[0.3585185706615448, 0.4620015025138855, -0.13766060769557953]","[0.4936770498752594, 0.5586521625518799, -0.09326746314764023]","[0.5227722525596619, 0.5409430265426636, -0.042687784880399704]","[0.39167726039886475, 0.5710975527763367, -0.05485783517360687]","[0.3489035367965698, 0.5683000087738037, -0.12015493214130402]","[0.4517887830734253, 0.6236312389373779, -0.09352651983499527]","[0.48074692487716675, 0.6202099323272705, -0.06082645803689957]"
"[0.6108670234680176, 0.7303981781005859, -6.157655434435583e-07]","[0.7191330790519714, 0.6243044137954712, -0.1017262414097786]","[0.702154815196991, 0.4271296262741089, -0.1098969429731369]","[0.5904476642608643, 0.28929659724235535, -0.10041113942861557]","[0.4862941801548004, 0.22400136291980743, -0.07639569789171219]","[0.5684697031974792, 0.2848004102706909, -0.041304342448711395]","[0.4428441524505615, 0.1529603898525238, -0.11040132492780685]","[0.34720706939697266, 0.09882783889770508, -0.14907927811145782]","[0.2672881484031677, 0.039868175983428955, -0.17129865288734436]","[0.4820054769515991, 0.35900017619132996, -0.021112192422151566]","[0.3863009214401245, 0.3065381348133087, -0.094467893242836]","[0.46241068840026855, 0.4332682192325592, -0.1066896915435791]","[0.5337555408477783, 0.47028863430023193, -0.09863073378801346]","[0.4172259569168091, 0.4425618052482605, -0.02050054632127285]","[0.3388875722885132, 0.42452964186668396, -0.12047320604324341]","[0.4344325661659241, 0.5396653413772583, -0.11633595824241638]","[0.5078390836715698, 0.5459069013595581, -0.09011983871459961]","[0.3679509460926056, 0.5309884548187256, -0.02859838306903839]","[0.3003532588481903, 0.5142066478729248, -0.10723625868558884]","[0.3803955912590027, 0.5902119874954224, -0.10682297497987747]","[0.44253823161125183, 0.6037595272064209, -0.09016740322113037]"
"[0.7923215627670288, 0.7336326241493225, 2.5999355557360104e-07]","[0.8134716749191284, 0.5513068437576294, -0.08186540007591248]","[0.7314232587814331, 0.3610154092311859, -0.09179870039224625]","[0.6111063957214355, 0.2513817846775055, -0.09039241820573807]","[0.48807400465011597, 0.26284945011138916, -0.08545368909835815]","[0.567563533782959, 0.35484883189201355, -0.024488000199198723]","[0.406349778175354, 0.2915797233581543, -0.07728881388902664]","[0.28588932752609253, 0.2583347260951996, -0.12830346822738647]","[0.19103187322616577, 0.2217985838651657, -0.16499143838882446]","[0.5260368585586548, 0.43688666820526123, -0.0091239083558321]","[0.3890947997570038, 0.3912803530693054, -0.08430596441030502]","[0.4673539698123932, 0.4555791914463043, -0.13111868500709534]","[0.5492714643478394, 0.5027015209197998, -0.14495743811130524]","[0.5085643529891968, 0.5240969061851501, -0.005138745531439781]","[0.38551539182662964, 0.4980882406234741, -0.08164923638105392]","[0.48452264070510864, 0.5485893487930298, -0.10401041805744171]","[0.5750619769096375, 0.5770929455757141, -0.097060926258564]","[0.512762188911438, 0.6076294183731079, -0.00790476519614458]","[0.43052083253860474, 0.5634811520576477, -0.0590285062789917]","[0.4821476340293884, 0.576616644859314, -0.06340997666120529]","[0.5383084416389465, 0.5899078845977783, -0.053380824625492096]"
"[0.7158830165863037, 0.7968263626098633, -5.295362939250481e-07]","[0.8112493753433228, 0.7128340005874634, -0.11316271871328354]","[0.7633505463600159, 0.4782661199569702, -0.1337224394083023]","[0.6315314769744873, 0.31621477007865906, -0.1288844645023346]","[0.524612307548523, 0.24827004969120026, -0.10533886402845383]","[0.6370656490325928, 0.37307003140449524, -0.09655483067035675]","[0.5245461463928223, 0.25198906660079956, -0.20122133195400238]","[0.4421238303184509, 0.18850676715373993, -0.2476605772972107]","[0.3505114018917084, 0.10742238163948059, -0.272088885307312]","[0.5333901643753052, 0.4514411389827728, -0.06747708469629288]","[0.47643452882766724, 0.396514356136322, -0.16131263971328735]","[0.5884622931480408, 0.54032963514328, -0.1375097930431366]","[0.595058262348175, 0.5379258990287781, -0.09763995558023453]","[0.45742928981781006, 0.5351515412330627, -0.060322556644678116]","[0.42098063230514526, 0.49725714325904846, -0.1740056723356247]","[0.539802610874176, 0.6101453304290771, -0.1205439418554306]","[0.5452679991722107, 0.6010602712631226, -0.05974496155977249]","[0.3992222547531128, 0.6217355728149414, -0.062211163341999054]","[0.38144823908805847, 0.6084306240081787, -0.13205228745937347]","[0.4776710569858551, 0.6789553165435791, -0.09545865654945374]","[0.48126065731048584, 0.6781590580940247, -0.05434242635965347]"
"[0.8321261405944824, 0.46066176891326904, 2.206946447813607e-07]","[0.7557171583175659, 0.348246306180954, -0.13981130719184875]","[0.555566668510437, 0.2915915846824646, -0.17915299534797668]","[0.37804457545280457, 0.3562409579753876, -0.19602976739406586]","[0.2609262466430664, 0.42621633410453796, -0.19345450401306152]","[0.35823434591293335, 0.35940083861351013, -0.07733387500047684]","[0.18238714337348938, 0.43619516491889954, -0.16737580299377441]","[0.08449745178222656, 0.5022129416465759, -0.21254180371761322]","[-0.028329938650131226, 0.5512904524803162, -0.23671191930770874]","[0.3873773217201233, 0.46400952339172363, -0.03968201205134392]","[0.32972270250320435, 0.5265361666679382, -0.1238492801785469]","[0.4941088557243347, 0.4846895933151245, -0.12316077202558517]","[0.5153083205223083, 0.43462952971458435, -0.10191815346479416]","[0.43655940890312195, 0.549247682094574, -0.026100367307662964]","[0.405280202627182, 0.6060389280319214, -0.130471870303154]","[0.5585994720458984, 0.5486104488372803, -0.10370168834924698]","[0.5638079047203064, 0.49282169342041016, -0.06026175990700722]","[0.49598002433776855, 0.6245545148849487, -0.02548699453473091]","[0.4696972370147705, 0.6558816432952881, -0.09815948456525803]","[0.5797988176345825, 0.6042519211769104, -0.08049524575471878]","[0.6018083691596985, 0.5674053430557251, -0.04977893456816673]"
"[0.9122045636177063, 0.6385732889175415, -2.052205871905244e-08]","[0.8731644749641418, 0.45306262373924255, -0.10476609319448471]","[0.7047477960586548, 0.3335261046886444, -0.14870350062847137]","[0.5127281546592712, 0.33493396639823914, -0.17494629323482513]","[0.3747691512107849, 0.3653169274330139, -0.1898137480020523]","[0.5824979543685913, 0.2833613157272339, -0.10027860105037689]","[0.36609411239624023, 0.2530493438243866, -0.1995418220758438]","[0.23532453179359436, 0.23989051580429077, -0.2625734210014343]","[0.10867416858673096, 0.2193836271762848, -0.30374184250831604]","[0.545274555683136, 0.40056318044662476, -0.08411316573619843]","[0.4011169672012329, 0.4165048599243164, -0.16573086380958557]","[0.5435055494308472, 0.48446595668792725, -0.16665278375148773]","[0.6120513081550598, 0.4732910096645355, -0.15528102219104767]","[0.5315434336662292, 0.5213242769241333, -0.08537629246711731]","[0.40599411725997925, 0.5367882251739502, -0.17743845283985138]","[0.5582249760627747, 0.5799736976623535, -0.14614801108837128]","[0.6218715906143188, 0.5500497817993164, -0.10792356729507446]","[0.5424039363861084, 0.6378281116485596, -0.09653141349554062]","[0.44486281275749207, 0.646731972694397, -0.16141125559806824]","[0.5522543787956238, 0.6640857458114624, -0.13719718158245087]","[0.6059665083885193, 0.6499835252761841, -0.10825134068727493]"
"[0.8415309190750122, 0.606552004814148, -2.1121354620845523e-07]","[0.8331695199012756, 0.46517062187194824, -0.11690196394920349]","[0.6687101125717163, 0.33006033301353455, -0.14647288620471954]","[0.47070538997650146, 0.3307211101055145, -0.15753966569900513]","[0.32813286781311035, 0.3794358968734741, -0.15251381695270538]","[0.46195128560066223, 0.302234023809433, -0.05540274828672409]","[0.26212283968925476, 0.29158082604408264, -0.14446094632148743]","[0.13781782984733582, 0.3251332640647888, -0.19918428361415863]","[0.011069715023040771, 0.3420771658420563, -0.23365171253681183]","[0.43782052397727966, 0.4183100163936615, -0.038574714213609695]","[0.30760902166366577, 0.434813916683197, -0.1397991180419922]","[0.45593613386154175, 0.46914833784103394, -0.16798746585845947]","[0.526775598526001, 0.45229047536849976, -0.16450326144695282]","[0.43838316202163696, 0.5295978784561157, -0.042047176510095596]","[0.33083832263946533, 0.5522898435592651, -0.1653498262166977]","[0.5076566934585571, 0.5722362995147705, -0.15855582058429718]","[0.5794569253921509, 0.536061704158783, -0.12327513843774796]","[0.4609047770500183, 0.6354894042015076, -0.05561162903904915]","[0.38184309005737305, 0.6622633337974548, -0.14581818878650665]","[0.5092154741287231, 0.6658653616905212, -0.1395348757505417]","[0.56791090965271, 0.640096127986908, -0.11479941010475159]"
"[0.8075358867645264, 0.38364091515541077, -4.493585947784595e-07]","[0.7111852765083313, 0.25817734003067017, -0.07044338434934616]","[0.5015424489974976, 0.24513576924800873, -0.08448106795549393]","[0.34245768189430237, 0.3429911434650421, -0.09291312843561172]","[0.2706465721130371, 0.452511727809906, -0.0931495949625969]","[0.323700875043869, 0.3901796042919159, -0.019069183617830276]","[0.1706778109073639, 0.4852346181869507, -0.0786687433719635]","[0.0893460363149643, 0.5567489266395569, -0.1143159344792366]","[0.022733330726623535, 0.6297800540924072, -0.1391400545835495]","[0.37961772084236145, 0.4882403612136841, -0.018951475620269775]","[0.27846434712409973, 0.5618786215782166, -0.09208931028842926]","[0.4234323799610138, 0.4914017915725708, -0.09993617236614227]","[0.4727051258087158, 0.43297556042671204, -0.08725259453058243]","[0.4572036862373352, 0.5627373456954956, -0.033495593816041946]","[0.38944849371910095, 0.6351274251937866, -0.12477786093950272]","[0.5145785808563232, 0.5453648567199707, -0.1025715172290802]","[0.5425450801849365, 0.48654696345329285, -0.06618653982877731]","[0.5477660298347473, 0.6281968951225281, -0.05511614307761192]","[0.48570001125335693, 0.6928519010543823, -0.12166639417409897]","[0.5661910772323608, 0.618754506111145, -0.10661845654249191]","[0.5921981334686279, 0.5680221319198608, -0.08267209678888321]"
"[0.8419996500015259, 0.36141544580459595, -2.7631921284410055e-07]","[0.764255702495575, 0.23853519558906555, -0.08842010796070099]","[0.5934637784957886, 0.19092869758605957, -0.13542403280735016]","[0.45929771661758423, 0.25283923745155334, -0.1753123551607132]","[0.3774546980857849, 0.3518913984298706, -0.20836998522281647]","[0.3947857618331909, 0.3358081579208374, -0.09421882033348083]","[0.22383223474025726, 0.4501534700393677, -0.2077358216047287]","[0.12106102705001831, 0.5329521298408508, -0.2803947329521179]","[0.03098490834236145, 0.6125202178955078, -0.3245433270931244]","[0.44923633337020874, 0.46285533905029297, -0.09023579955101013]","[0.38485777378082275, 0.5192084312438965, -0.20966099202632904]","[0.5617885589599609, 0.4402312934398651, -0.2273230105638504]","[0.6201885938644409, 0.3838809132575989, -0.21753814816474915]","[0.5160956382751465, 0.5628724098205566, -0.10016490519046783]","[0.4344009757041931, 0.6285191178321838, -0.21983830630779266]","[0.5871896147727966, 0.5423477292060852, -0.1796898990869522]","[0.6464051008224487, 0.4866062104701996, -0.12701483070850372]","[0.5940520167350769, 0.6525993347167969, -0.11867363750934601]","[0.5263993740081787, 0.714893102645874, -0.2072848230600357]","[0.627369225025177, 0.6391030550003052, -0.18130610883235931]","[0.6744397878646851, 0.5832831263542175, -0.14236970245838165]"
"[0.8361786007881165, 0.45716968178749084, 1.2148943540069013e-07]","[0.727299690246582, 0.3180084824562073, -0.07416056841611862]","[0.5250347852706909, 0.25596994161605835, -0.0926712304353714]","[0.3495721220970154, 0.3028624653816223, -0.10630474239587784]","[0.24027888476848602, 0.37268421053886414, -0.11333470046520233]","[0.366599440574646, 0.36981457471847534, -0.02195638045668602]","[0.18654802441596985, 0.4374706745147705, -0.08622099459171295]","[0.07515043020248413, 0.48907676339149475, -0.12370175868272781]","[-0.026540786027908325, 0.5299755930900574, -0.1491694450378418]","[0.4014422297477722, 0.47544413805007935, -0.02308439463376999]","[0.27760666608810425, 0.5241342186927795, -0.12044871598482132]","[0.41325801610946655, 0.4898274838924408, -0.14758676290512085]","[0.4917759299278259, 0.44529104232788086, -0.14082340896129608]","[0.46265795826911926, 0.566211998462677, -0.0369994156062603]","[0.3845866918563843, 0.6208693981170654, -0.14315542578697205]","[0.5171306133270264, 0.5662864446640015, -0.13204526901245117]","[0.5694586038589478, 0.5088051557540894, -0.0955846756696701]","[0.5403081178665161, 0.6455527544021606, -0.05694355070590973]","[0.4642315208911896, 0.6916772127151489, -0.1258593648672104]","[0.5534724593162537, 0.641613245010376, -0.1106247529387474]","[0.600058376789093, 0.592411994934082, -0.08228783309459686]"
