Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.6632865071296692, 0.6764712333679199, -5.937685045864782e-07]","[0.7603145837783813, 0.5851324200630188, -0.09012307971715927]","[0.7085464000701904, 0.3933195471763611, -0.11173968762159348]","[0.573747992515564, 0.27248451113700867, -0.12268278747797012]","[0.4620782434940338, 0.22050292789936066, -0.12910455465316772]","[0.5254533290863037, 0.2986130714416504, -0.059537094086408615]","[0.3826645612716675, 0.17697736620903015, -0.12167557328939438]","[0.2848508954048157, 0.12211398780345917, -0.15101435780525208]","[0.20898982882499695, 0.08551666140556335, -0.17085863649845123]","[0.4554607570171356, 0.38669607043266296, -0.04900910332798958]","[0.35587090253829956, 0.3242838978767395, -0.14890877902507782]","[0.46004894375801086, 0.43644821643829346, -0.16427473723888397]","[0.5393742918968201, 0.480293869972229, -0.1482362449169159]","[0.4117344319820404, 0.47971317172050476, -0.05132194608449936]","[0.33331626653671265, 0.45831727981567383, -0.16469764709472656]","[0.44738009572029114, 0.5452486276626587, -0.14568249881267548]","[0.5192364454269409, 0.5614129304885864, -0.10353247076272964]","[0.3789205253124237, 0.5790979862213135, -0.06019553914666176]","[0.3078407049179077, 0.5591517686843872, -0.14666494727134705]","[0.4000624120235443, 0.6131425499916077, -0.13685458898544312]","[0.4628034830093384, 0.6216281652450562, -0.11054129898548126]"
"[0.824995756149292, 0.4235737919807434, 1.136188529926585e-07]","[0.6969832181930542, 0.28875163197517395, -0.07834896445274353]","[0.4858689308166504, 0.25117579102516174, -0.0984460785984993]","[0.3149007558822632, 0.3231671154499054, -0.11291514337062836]","[0.21730737388134003, 0.4114306569099426, -0.11887451261281967]","[0.3401629328727722, 0.37873125076293945, -0.021727146580815315]","[0.1747828722000122, 0.4635779857635498, -0.09400143474340439]","[0.07880008220672607, 0.5389643907546997, -0.1387479603290558]","[-0.009762078523635864, 0.603370726108551, -0.16698551177978516]","[0.3871774673461914, 0.4840775430202484, -0.021110422909259796]","[0.2724977731704712, 0.5546162128448486, -0.11693465709686279]","[0.40496504306793213, 0.5039049386978149, -0.14616599678993225]","[0.47933390736579895, 0.4429745078086853, -0.1423736959695816]","[0.46012964844703674, 0.5696837902069092, -0.03489157184958458]","[0.39181753993034363, 0.6377877593040466, -0.14089764654636383]","[0.5158787369728088, 0.5669023990631104, -0.13419747352600098]","[0.5599913597106934, 0.4954219460487366, -0.1014445349574089]","[0.5469365119934082, 0.6400232911109924, -0.05514565855264664]","[0.4820617139339447, 0.6986563205718994, -0.12555831670761108]","[0.5653441548347473, 0.6398875713348389, -0.11307213455438614]","[0.6070254445075989, 0.5820267200469971, -0.08653120696544647]"
"[0.5664311647415161, 0.8787250518798828, 4.040077214995108e-07]","[0.731492817401886, 0.7328159809112549, -0.07372274249792099]","[0.7867546081542969, 0.529833972454071, -0.09428390115499496]","[0.7357198596000671, 0.36138665676116943, -0.11138201504945755]","[0.6153956651687622, 0.31531447172164917, -0.12503251433372498]","[0.6164996027946472, 0.3819902539253235, -0.015767095610499382]","[0.5095921158790588, 0.22857600450515747, -0.08162137866020203]","[0.4240160584449768, 0.12085247039794922, -0.13691242039203644]","[0.36083024740219116, 0.026376843452453613, -0.17675969004631042]","[0.5103926658630371, 0.4333758056163788, -0.020006105303764343]","[0.429884672164917, 0.32220345735549927, -0.11738784611225128]","[0.48124074935913086, 0.45399099588394165, -0.16920465230941772]","[0.5390063524246216, 0.5558325052261353, -0.18128398060798645]","[0.42774248123168945, 0.5095024704933167, -0.03526071831583977]","[0.3505987524986267, 0.427543967962265, -0.13446541130542755]","[0.43258097767829895, 0.5480573773384094, -0.15248256921768188]","[0.5111876726150513, 0.6264944076538086, -0.13732586801052094]","[0.365050345659256, 0.600196361541748, -0.05663558095693588]","[0.30048808455467224, 0.5299750566482544, -0.12356828898191452]","[0.359709233045578, 0.6044660210609436, -0.12408658117055893]","[0.4276639521121979, 0.662827730178833, -0.10729140788316727]"
"[0.7750385999679565, 0.5339682102203369, -2.0165634850854985e-07]","[0.7691797018051147, 0.39873963594436646, -0.09258388727903366]","[0.5961261987686157, 0.29758313298225403, -0.11114776134490967]","[0.4178012013435364, 0.28988581895828247, -0.11762663722038269]","[0.2993662357330322, 0.3273332715034485, -0.11645091325044632]","[0.39829137921333313, 0.3388338088989258, -0.03902043402194977]","[0.22106336057186127, 0.34629571437835693, -0.09576212614774704]","[0.09684920310974121, 0.35470089316368103, -0.118364617228508]","[0.0018736720085144043, 0.36646318435668945, -0.1317342072725296]","[0.4067051410675049, 0.44814062118530273, -0.023282572627067566]","[0.29667651653289795, 0.47275039553642273, -0.10954184830188751]","[0.44551584124565125, 0.48585593700408936, -0.11209062486886978]","[0.516735851764679, 0.4610973000526428, -0.08600042760372162]","[0.43362629413604736, 0.5460852980613708, -0.02340725250542164]","[0.3543759286403656, 0.581068217754364, -0.1281624734401703]","[0.4945998787879944, 0.567543625831604, -0.10481671988964081]","[0.5457257628440857, 0.5311947464942932, -0.059133537113666534]","[0.4745314121246338, 0.6418625116348267, -0.031210359185934067]","[0.4057888686656952, 0.6716583967208862, -0.10732901841402054]","[0.5058655738830566, 0.6461899280548096, -0.09384336322546005]","[0.5542272329330444, 0.6131381988525391, -0.06483744084835052]"
"[0.6332011818885803, 0.8478513956069946, -2.972011543533881e-07]","[0.7598392367362976, 0.7687072157859802, -0.07653546333312988]","[0.8121762275695801, 0.5995795726776123, -0.11981349438428879]","[0.757537841796875, 0.46273237466812134, -0.15925975143909454]","[0.6631029844284058, 0.37662532925605774, -0.19271965324878693]","[0.6657974123954773, 0.39717933535575867, -0.07932514697313309]","[0.5573665499687195, 0.22572778165340424, -0.18600837886333466]","[0.4822753071784973, 0.11945691704750061, -0.254912793636322]","[0.40828442573547363, 0.027170658111572266, -0.2975579798221588]","[0.5381494760513306, 0.44834044575691223, -0.07994785904884338]","[0.4863913357257843, 0.3830030560493469, -0.1947917640209198]","[0.5619329810142517, 0.5615273118019104, -0.2094772458076477]","[0.6167711019515991, 0.6208257675170898, -0.19702142477035522]","[0.4358437955379486, 0.5160905122756958, -0.09327784925699234]","[0.3744800090789795, 0.431570440530777, -0.2093426138162613]","[0.45603224635124207, 0.5837070345878601, -0.166020929813385]","[0.5113687515258789, 0.641880989074707, -0.11085589230060577]","[0.34564703702926636, 0.5955078601837158, -0.11400638520717621]","[0.28419116139411926, 0.5269020795822144, -0.1972259283065796]","[0.3550058603286743, 0.62713223695755, -0.16701765358448029]","[0.40946412086486816, 0.6708491444587708, -0.1256043165922165]"
"[0.7858453989028931, 0.5045776963233948, 1.9303747933463455e-08]","[0.7547830939292908, 0.39977023005485535, -0.11453858762979507]","[0.5572412014007568, 0.3088430166244507, -0.13693693280220032]","[0.3662739098072052, 0.3243419826030731, -0.1386941522359848]","[0.24386435747146606, 0.3630335330963135, -0.12374195456504822]","[0.3872893452644348, 0.3454095125198364, -0.06782865524291992]","[0.21623694896697998, 0.3827058672904968, -0.14662951231002808]","[0.11747291684150696, 0.41263720393180847, -0.18719495832920074]","[0.003753662109375, 0.42525362968444824, -0.21379823982715607]","[0.3953113555908203, 0.4560190439224243, -0.04154994338750839]","[0.3245697617530823, 0.48429375886917114, -0.12011513113975525]","[0.49106210470199585, 0.4721445143222809, -0.11440733075141907]","[0.5124268531799316, 0.43622586131095886, -0.09181167930364609]","[0.4296019375324249, 0.5482479333877563, -0.03531426936388016]","[0.3773952126502991, 0.5806795358657837, -0.13717021048069]","[0.5354873538017273, 0.5492435097694397, -0.10316016525030136]","[0.5531190633773804, 0.5057944655418396, -0.05865850672125816]","[0.4778212308883667, 0.6308351159095764, -0.038854725658893585]","[0.4493449926376343, 0.653681755065918, -0.11085139960050583]","[0.5591546297073364, 0.6192353963851929, -0.08898863941431046]","[0.5803514719009399, 0.5920035243034363, -0.05882161855697632]"
"[0.7661386728286743, 0.5874704718589783, 2.3389559089537215e-07]","[0.7348306775093079, 0.48006582260131836, -0.13632720708847046]","[0.5843486189842224, 0.3511204421520233, -0.16913606226444244]","[0.41259562969207764, 0.3181905746459961, -0.1803867369890213]","[0.2801542282104492, 0.31128305196762085, -0.17339928448200226]","[0.4437694549560547, 0.2993761897087097, -0.054696790874004364]","[0.28009265661239624, 0.2881670296192169, -0.135597363114357]","[0.17473801970481873, 0.2980445921421051, -0.17213644087314606]","[0.05943521857261658, 0.29039067029953003, -0.19132868945598602]","[0.41854727268218994, 0.4046565890312195, -0.02087235450744629]","[0.3188086450099945, 0.4338453710079193, -0.10989715903997421]","[0.467525839805603, 0.4737232029438019, -0.10910983383655548]","[0.5020254850387573, 0.4395614266395569, -0.08287631720304489]","[0.41801485419273376, 0.5066930651664734, -0.011791061609983444]","[0.3406774699687958, 0.5393639802932739, -0.1301623433828354]","[0.49775445461273193, 0.5589863061904907, -0.10733945667743683]","[0.5294002890586853, 0.5136778354644775, -0.06033816561102867]","[0.43484094738960266, 0.6031820178031921, -0.014447282068431377]","[0.3816838562488556, 0.6209620237350464, -0.10255415737628937]","[0.5008904337882996, 0.6222566962242126, -0.0904388427734375]","[0.5375887155532837, 0.5941636562347412, -0.05986466258764267]"
"[0.6836056709289551, 0.8031521439552307, -2.0445223469778284e-07]","[0.7472054958343506, 0.6377333402633667, -0.11969075351953506]","[0.7007938623428345, 0.43464696407318115, -0.14410607516765594]","[0.5596747994422913, 0.3043746054172516, -0.1513317972421646]","[0.443153440952301, 0.23471041023731232, -0.13738960027694702]","[0.5850729942321777, 0.30492886900901794, -0.030539391562342644]","[0.43356600403785706, 0.17310941219329834, -0.12156638503074646]","[0.32304251194000244, 0.12911324203014374, -0.1805930733680725]","[0.2163638174533844, 0.06641727685928345, -0.21160028874874115]","[0.5053091049194336, 0.3835076689720154, -0.0019497573375701904]","[0.39738908410072327, 0.34857380390167236, -0.07123737782239914]","[0.4926980435848236, 0.46229061484336853, -0.08415234088897705]","[0.5560190081596375, 0.45971235632896423, -0.079219751060009]","[0.4478633999824524, 0.47018110752105713, 0.0011666709324344993]","[0.35638129711151123, 0.45861560106277466, -0.09198103100061417]","[0.4686295986175537, 0.5674558281898499, -0.08443298935890198]","[0.5367350578308105, 0.5426754951477051, -0.057531602680683136]","[0.4113989770412445, 0.559482216835022, -0.008311797864735126]","[0.34451326727867126, 0.551624596118927, -0.07148133218288422]","[0.43106335401535034, 0.6244680881500244, -0.06235768646001816]","[0.4876551330089569, 0.624343991279602, -0.041218552738428116]"
"[0.6256852149963379, 0.799262523651123, -2.995944896611036e-07]","[0.7428709864616394, 0.658602237701416, -0.06833992898464203]","[0.7402462959289551, 0.4442095458507538, -0.08795426785945892]","[0.6414850950241089, 0.2887459993362427, -0.10631053894758224]","[0.5420708656311035, 0.2021373212337494, -0.11873091757297516]","[0.6007985472679138, 0.3088090121746063, -0.021410854533314705]","[0.48338955640792847, 0.14965195953845978, -0.09946760535240173]","[0.39067697525024414, 0.06981450319290161, -0.1505117118358612]","[0.30950555205345154, -0.00034806132316589355, -0.18195414543151855]","[0.5024653673171997, 0.3772953450679779, -0.026420271024107933]","[0.4086329936981201, 0.2826550602912903, -0.12362446635961533]","[0.4733603596687317, 0.4082143306732178, -0.15433380007743835]","[0.5472611784934998, 0.46696484088897705, -0.15405148267745972]","[0.42782074213027954, 0.46839356422424316, -0.04506732523441315]","[0.33830365538597107, 0.40539273619651794, -0.15320758521556854]","[0.42561811208724976, 0.5194576978683472, -0.1454169899225235]","[0.5085985660552979, 0.5537006855010986, -0.11399912089109421]","[0.3690965175628662, 0.5673750638961792, -0.06940259784460068]","[0.2940075993537903, 0.5082913041114807, -0.1432124376296997]","[0.3635501563549042, 0.5843051671981812, -0.13031046092510223]","[0.43497323989868164, 0.6175758242607117, -0.10421816259622574]"
"[0.735542893409729, 0.6891677975654602, -3.1632433206141286e-07]","[0.7907572388648987, 0.5526586771011353, -0.07601439952850342]","[0.6944383382797241, 0.37278521060943604, -0.08798514306545258]","[0.5400575399398804, 0.27802473306655884, -0.09079913794994354]","[0.41256183385849, 0.272880494594574, -0.08582424372434616]","[0.498828649520874, 0.29734110832214355, -0.019634241238236427]","[0.34466421604156494, 0.2156144380569458, -0.06656243652105331]","[0.23629328608512878, 0.1734355390071869, -0.08986621350049973]","[0.1430933177471161, 0.1431170254945755, -0.10753218084573746]","[0.4408876895904541, 0.39399799704551697, -0.011325929313898087]","[0.3236329257488251, 0.3434772491455078, -0.0810161903500557]","[0.45402708649635315, 0.43468424677848816, -0.08308449387550354]","[0.5292794704437256, 0.4510760009288788, -0.06230303272604942]","[0.4104439914226532, 0.49360954761505127, -0.016685476526618004]","[0.3103102445602417, 0.4699409008026123, -0.10547520965337753]","[0.4475543797016144, 0.5314171314239502, -0.0813436433672905]","[0.5164867639541626, 0.5332403779029846, -0.04107017070055008]","[0.3951888382434845, 0.6018955111503601, -0.029157862067222595]","[0.31113123893737793, 0.5854500532150269, -0.09731114655733109]","[0.4149223566055298, 0.6160211563110352, -0.08345764875411987]","[0.4763152003288269, 0.6157203912734985, -0.05781731382012367]"
